iter	TotalF1	MultiClass
0	0.4398861496	1.092964127
1	0.4929222096	1.087660729
2	0.51638743	1.082566695
3	0.4959908474	1.077483925
4	0.4993163031	1.073182191
5	0.5106355805	1.06940701
6	0.5185392145	1.064600621
7	0.5299829274	1.060847924
8	0.5197289417	1.056738628
9	0.524409775	1.052370261
10	0.5277166085	1.048805451
11	0.5360316689	1.04458043
12	0.5286704369	1.041478377
13	0.537850766	1.037701753
14	0.5601414091	1.033315173
15	0.5586240542	1.030703109
16	0.548539813	1.027902296
17	0.5590402936	1.025246255
18	0.5485946759	1.022504685
19	0.5629265409	1.019909826
20	0.5593837548	1.017066526
21	0.5543110077	1.015207925
22	0.5631255804	1.012143025
23	0.5531611787	1.009898959
24	0.5517744192	1.008155833
25	0.551435893	1.00564751
26	0.5481457137	1.003602361
27	0.5458756193	1.001471572
28	0.5578171313	0.9993186833
29	0.5643218275	0.9968389682
30	0.5599099504	0.9947071192
31	0.5696908844	0.9922451871
32	0.5739748968	0.9895207757
33	0.5740366067	0.9881282645
34	0.5717158887	0.9866220657
35	0.5739062706	0.9843602009
36	0.5722379858	0.9822290496
37	0.5721654649	0.9804564102
38	0.5706287822	0.9789686667
39	0.5707981783	0.9775611355
40	0.5734658469	0.975562846
41	0.5718775706	0.9741892597
42	0.569667596	0.9723834309
43	0.5649380077	0.9703880699
44	0.5644958787	0.9685134268
45	0.5622124874	0.9670501811
46	0.5618394252	0.9653484945
47	0.5611819257	0.9639936644
48	0.5566160522	0.9625588567
49	0.5568743632	0.9614649105
50	0.5564784889	0.9598475621
51	0.5640131821	0.9587522993
52	0.5631632341	0.9572107289
53	0.5628828871	0.9559373348
54	0.5621118999	0.9544952321
55	0.5676403352	0.9525299983
56	0.5681943398	0.9510861551
57	0.5745760446	0.9492554275
58	0.5770974152	0.9476265091
59	0.5755850425	0.9468184622
60	0.5744224592	0.9454718787
61	0.5786291116	0.9441331788
62	0.5776974246	0.943222263
63	0.5771689793	0.9422404654
64	0.5844668006	0.9412643985
65	0.5846979429	0.9398484947
66	0.5841799138	0.9392515646
67	0.5841217333	0.938193153
68	0.5872705107	0.9366861484
69	0.5906305425	0.935328493
70	0.5926750565	0.9339168347
71	0.5929277326	0.9324581923
72	0.5929247837	0.931348792
73	0.5927072604	0.9303783258
74	0.5932454571	0.9294669333
75	0.5957825332	0.9282069707
76	0.5979042211	0.9271780269
77	0.5982007835	0.9262977545
78	0.601458449	0.9249612094
79	0.6014218968	0.9243463046
80	0.6013180131	0.9233775525
81	0.6031661984	0.922123008
82	0.6037185262	0.9215184939
83	0.6039135399	0.9207329578
84	0.6046087731	0.9200473696
85	0.604979176	0.9185449745
86	0.6060458804	0.9177525479
87	0.6060925447	0.9165371027
88	0.6080751752	0.9156233992
