iter	Passed	Remaining
0	10495	3515949
1	21027	3511577
2	31613	3509057
3	42041	3489405
4	52486	3474597
5	63060	3468343
6	73754	3466454
7	84599	3468565
8	95086	3454818
9	105766	3447974
10	116310	3436455
11	127519	3443013
12	138196	3433651
13	149389	3435958
14	160371	3431941
15	171157	3423149
16	182257	3420009
17	193215	3413474
18	204362	3409622
19	215268	3401241
20	226063	3390949
21	236826	3380155
22	247582	3369278
23	258446	3359805
24	269140	3348102
25	280090	3339539
26	290447	3324009
27	300241	3302656
28	310110	3282899
29	319934	3263331
30	329522	3242078
31	339109	3221535
32	349360	3207762
33	358958	3188392
34	368928	3172785
35	379292	3160767
36	389510	3147666
37	399426	3132341
38	409708	3120084
39	419674	3105588
40	429706	3091787
41	440030	3080215
42	449872	3065411
43	460381	3055256
44	470765	3044280
45	481067	3032815
46	490936	3018738
47	501334	3008005
48	511437	2995560
49	521490	2982924
50	532040	2973168
51	541816	2959152
52	551745	2946115
53	562023	2935011
54	572194	2923393
55	582452	2912263
56	593183	2903474
57	603908	2894594
58	614095	2883128
59	625547	2877516
60	636757	2870627
61	647137	2859929
62	658318	2852714
63	668997	2843238
64	679465	2832850
65	690298	2823948
66	701018	2814536
67	711972	2806009
68	723031	2797817
69	733721	2788142
70	744717	2779580
71	755705	2770920
72	766684	2762165
73	778222	2755327
74	789054	2745909
75	799692	2735789
76	809884	2724156
77	820626	2714379
78	830801	2702733
79	840610	2689952
80	851078	2679320
81	862387	2671298
82	873586	2662859
83	884176	2652528
84	894425	2641187
85	904345	2628911
86	914531	2617453
87	925622	2608573
88	936535	2599148
